District,FirstName,LastName,address,address2,city,state,zip,phone,fax,EmailAddress,Website,PartyEndorsement,Photo,Twitter,Facebook,/n
1,Margaret ,Chin,165 Park Row,Suite 11,New York,NY,10038,212-587-3159,212-587-3138,chin@council.nyc.gov,http://council.nyc.gov/d1/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d1chin.jpg,CM_MargaretChin,MargaretChinForCityCouncil,/n
2,Rosie ,Mendez,237  First Ave. ,Ste. 504,New York,NY,10003,212-677-1077,212-677-1990,rmendez@council.nyc.gov,http://council.nyc.gov/d2/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d2mendez.jpg,RosieMendez,rosie.mendez,/n
3,Corey,Johnson,224 West 30th St.,Ste. 1206,New York,NY,10001,212-564-7757,212-564-7347,corey.johnson@council.nyc.gov,http://council.nyc.gov/d3/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District03_Johnson.JPG,CoreyinNYC,,/n
4,Daniel R. ,Garodnick,211 East 43rd St.,Suite 1205,New York,NY,10017,212-818-0580,212-818-0706,garodnick@council.nyc.gov,http://council.nyc.gov/d4/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d4garodnick.jpg,DanGarodnick,DanGarodnick,/n
5,Ben,Kallos,244 East 93rd Street,,New York ,NY,10128,212-980-1808,212-980-1828,ben@benkallos.com,http://council.nyc.gov/d5/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District05_Kallos.JPG,kallos,1.41E+15,/n
6,Helen,Rosenthal,563 Columbus Ave. ,,New York,NY,10024,212-873-0282,212-873-0279,hrosenthal@council.nyc.gov,http://council.nyc.gov/d6/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District06_Rosenthal.JPG,HelenRosenthal,VoteHelen2013,/n
7,Mark,Levine,500 West 141st Street,,New York,NY,10031,212-928-6814,646-582-1408,district7@council.nyc.gov,http://council.nyc.gov/d7/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District07_Levine.JPG,MarkLevineNYC,,/n
8,Melissa ,Mark-Viverito,105 East 116th St.,,New York,NY,10029,212-828-9800,212-722-6378,mviverito@council.nyc.gov,http://council.nyc.gov/d8/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/melissa_mark-viverito.jpg,MMViverito,1.20E+11,/n
9,Inez E. ,Dickens,163 West 125th St.,Suite 729,New York,NY,10027,212-678-4505,212-864-4379,idickens@council.nyc.gov,http://council.nyc.gov/d9/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d09ignizio.jpg,inezdickens2013,84792331605,/n
10,Ydanis A.,Rodriguez,618 West 177th St. ,Ground Fl.,New York,NY,10033,917-521-2616,917-521-1293,yrodriguez@council.nyc.gov,http://council.nyc.gov/d10/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d10rodriguez.jpg,ydanis,ydanis.rodriguez,/n
11,Andrew,Cohen,3636 Waldo Ave.,,Bronx,NY,10463,718- 549-7300,718-549-9945,acohen@council.nyc.gov,http://council.nyc.gov/d11/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/District11_Cohen.JPG,AndrewCohenNYC,4.02E+14,/n
12,Andy,King,940 East Gunhill Rd.,,Bronx,NY,10469,718-684-5509ξ,718-684-5510ξ,andy.king@council.nyc.gov,http://council.nyc.gov/d12/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/CMKING HS 220-311.JPG,AndyKingNYC,1.17E+14,/n
13,James,Vacca,3040 East Tremont Ave.,Rm. 104,Bronx,NY,10461,718-931-1721,718-931-1605,jvacca@council.nyc.gov,http://council.nyc.gov/d13/html/members/home.shtml,D,http://www.mygovnyc.org/img/photos/council/d13vacca.jpg,JamesVacca13,CouncilMemberJamesVacca,/n
