Margaret Chin,1,Manhattan,Democrat,Chatham Green 165 Park Row  suite #11 New York  NY 10038,212-587-3159,250 Broadway Suite 1882 New York  NY 10007,212-788-7259,chin@council.nyc.gov,http://council.nyc.gov/d1/images/features/MC_headshot1.jpg,CM_MargaretChin,
Rosie Mendez,2,Manhattan,Democrat,237 First Ave Suite 504 New York  NY 10003,212-677-1077,250 Broadway Room 1734 New York  NY 10007,212-788-7366,rmendez@council.nyc.gov,http://www.rosiemendez.com/images/stories/Rosie_headshot.jpg,RosieMendez,
Corey Johnson,3,Manhattan,Democrat,224 West 30th St (Suite 1206) New York  NY 10001,(212) 564-7757,250 Broadway Suite 1804  New York  New York 10007,(212) 788-6979,corey.johnson@council.nyc.gov,http://council.nyc.gov/d3/images/features/District03_Johnson.jpg,CoreyinNYC,
Daniel R. Garodnick,4,Manhattan,Democrat,211 East 43rd Street Suite 1205 New York  NY 10017,212-818-0580,250 Broadway Suite 1762 New York  NY 10007,212-788-7393,garodnick@council.nyc.gov,http://council.nyc.gov/d4/images/features/d4garodnick.jpg,DanGarodnick,
Ben Kallos,5,Manhattan,Democrat,"244 East 93rd Street New York  NY 10128",212-860-1950,250 Broadway Suite 1738 New York  NY 10007,212-788-6865,ben@benkallos.com,http://council.nyc.gov/d5/images/features/District05_Kallos.jpg,kallos,
Helen Rosenthal,6,,Democrat,563 Columbus Ave (at the corner of 87th St.) New York  New York 10024,(212) 873-0282,City Hall Office 250 Broadway Suite 1744 New York  NY 10007,(212) 788-6975,hrosenthal@council.nyc.gov,"http://www.council.nyc.gov/d6/images/Rosenthal%20headshot%20-%20brighter,%20cropped%20-%20for%20CC%20site.jpg",HelenRosenthal,
Mark Levine,7,Manhattan,Democrat,"500 West 141st Street
 New York  NY 10031",212-928-6814,250 Broadway  Rm. 1816 New York  NY 10007,212-788-7007,district7@council.nyc.gov,http://www.council.nyc.gov/d7/images/features/marklevine.jpg,MarkLevineNYC,
Melissa Mark-Viverito,8,Manhattan and Bronx,Democrat,105 East 116th Street  New York  NY 10029 OR 214 St. Ann’s Ave  Bronx  NY 10454,"Manhattan: 212-828-9800
 Bronx: 347-297-4922",250 Broadway Suite 1856 New York  NY 10007,212-788-7210,mviverito@council.nyc.gov,http://www.council.nyc.gov/d8/images/features/mmv.png,MMViverito,
Inez E. Dickens,9,Manhattan,Democrat,Adam Clayton Powell Jr. Blvd. 163 W. 125 Street New York  NY 10027,212-678-4505,250 Broadway Suite 1875 New York  NY 10007,212-788-7397,idickens@council.nyc.gov,http://www.council.nyc.gov/d9/images/features/d09ignizio.jpg,inezdickens2013,
Ydanis Rodriguez,10,Manhattan,Democrat,618 W. 177th Street  Ground Floor New York  NY 10033,917-521-2616,250 Broadway  Suite 1763 New York  NY 10007,212-788-7053,yrodriguez@council.nyc.gov,http://www.council.nyc.gov/d10/images/features/YRHS.jpg,ydanis,
